SECONDS;LIMIT;THREADSMPI;SCHEDULE;THREADSOPENMP
32.287788;100000;1;static;1
289.705238;300000;1;static;1
1158.728461;600000;1;static;1
16.730188;100000;2;static;2
150.549214;300000;2;static;2
602.141305;600000;2;static;2
6.491910;100000;4;static;4
54.846497;300000;4;static;4
230.189720;600000;4;static;4
5.793433;100000;6;static;6
50.219478;300000;6;static;6
202.614215;600000;6;static;6
5.722629;100000;8;static;8
49.449630;300000;8;static;8
197.603261;600000;8;static;8
3.578744;100000;10;static;10
31.267604;300000;10;static;10
125.130501;600000;10;static;10
3.450244;100000;12;static;12
30.836416;300000;12;static;12
122.755300;600000;12;static;12
4.669001;100000;16;static;16
41.630656;300000;16;static;16
166.250714;600000;16;static;16
6.177954;100000;20;static;20
57.782005;300000;20;static;20
236.851748;600000;20;static;20
5.256242;100000;24;static;24
49.260326;300000;24;static;24
201.533479;600000;24;static;24
32.231025;100000;1;dynamic;1
289.708781;300000;1;dynamic;1
1158.459227;600000;1;dynamic;1
15.152282;100000;2;dynamic;2
136.083405;300000;2;dynamic;2
544.291390;600000;2;dynamic;2
6.024867;100000;4;dynamic;4
54.674400;300000;4;dynamic;4
216.880494;600000;4;dynamic;4
5.649454;100000;6;dynamic;6
50.040900;300000;6;dynamic;6
200.318266;600000;6;dynamic;6
5.681720;100000;8;dynamic;8
48.918225;300000;8;dynamic;8
195.262766;600000;8;dynamic;8
3.473024;100000;10;dynamic;10
31.146356;300000;10;dynamic;10
124.512325;600000;10;dynamic;10
3.453823;100000;12;dynamic;12
30.731322;300000;12;dynamic;12
122.699328;600000;12;dynamic;12
4.666451;100000;16;dynamic;16
41.663805;300000;16;dynamic;16
166.259556;600000;16;dynamic;16
6.190035;100000;20;dynamic;20
57.795392;300000;20;dynamic;20
236.837132;600000;20;dynamic;20
5.253940;100000;24;dynamic;24
49.210866;300000;24;dynamic;24
201.546001;600000;24;dynamic;24
32.206119;100000;1;guided;1
289.784665;300000;1;guided;1
1158.686740;600000;1;guided;1
15.148087;100000;2;guided;2
136.095206;300000;2;guided;2
544.359196;600000;2;guided;2
6.004084;100000;4;guided;4
54.617697;300000;4;guided;4
217.427404;600000;4;guided;4
5.695863;100000;6;guided;6
50.180843;300000;6;guided;6
199.391523;600000;6;guided;6
5.605985;100000;8;guided;8
49.003294;300000;8;guided;8
195.063453;600000;8;guided;8
3.479644;100000;10;guided;10
31.143652;300000;10;guided;10
124.848821;600000;10;guided;10
3.453698;100000;12;guided;12
30.713198;300000;12;guided;12
122.742820;600000;12;guided;12
4.684314;100000;16;guided;16
41.617754;300000;16;guided;16
166.229050;600000;16;guided;16
6.178154;100000;20;guided;20
60.175840;300000;20;guided;20
236.864536;600000;20;guided;20
5.253550;100000;24;guided;24
49.205625;300000;24;guided;24
201.572181;600000;24;guided;24
32.222833;100000;1;auto;1
289.811100;300000;1;auto;1
1158.508768;600000;1;auto;1
16.754023;100000;2;auto;2
150.568986;300000;2;auto;2
602.119436;600000;2;auto;2
6.627444;100000;4;auto;4
57.526185;300000;4;auto;4
228.288584;600000;4;auto;4
5.747844;100000;6;auto;6
51.100997;300000;6;auto;6
203.467654;600000;6;auto;6
5.690056;100000;8;auto;8
49.416185;300000;8;auto;8
197.128226;600000;8;auto;8
3.536556;100000;10;auto;10
31.326218;300000;10;auto;10
124.596530;600000;10;auto;10
3.443639;100000;12;auto;12
30.752155;300000;12;auto;12
122.675740;600000;12;auto;12
4.673187;100000;16;auto;16
41.663883;300000;16;auto;16
166.221052;600000;16;auto;16
6.176394;100000;20;auto;20
57.811000;300000;20;auto;20
236.825132;600000;20;auto;20
5.256226;100000;24;auto;24
49.210555;300000;24;auto;24
201.539302;600000;24;auto;24